"Year","Denomination","Quantity","Silver Content %","Average Weight","Weight Unit","Melt Value Each","Total Row Value","Notes","Personal Story"
"1877","Dime","1","90","2.50","g","5.54","5.54","",""
"1883","Dime","1","90","2.50","g","5.54","5.54","",""
"1883","Dollar Coin","1","90","26.73","g","59.25","59.25","",""
"1884","Dollar Coin","1","90","26.73","g","59.25","59.25","",""
"1903","Quarter (Barber)","1","90","6.25","g","13.85","13.85","",""
"1911","Half Dollar","1","90","12.50","g","27.71","27.71","",""
"1917","Mercury Dime","1","90","2.50","g","5.54","5.54","",""
"1928","Buffalo Nickel","1","0","5.00","g","0.00","0.00","",""
"1934","Half Dollar","1","90","12.50","g","27.71","27.71","",""
"1935","Mercury Dime","3","90","2.50","g","5.54","16.63","",""
"1936","Mercury Dime","4","90","2.50","g","5.54","22.17","",""
"1936","Buffalo Nickel","1","0","5.00","g","0.00","0.00","",""
"1938","Mercury Dime","2","90","2.50","g","5.54","11.08","",""
"1939","Mercury Dime","4","90","2.50","g","5.54","22.17","",""
"1940","Mercury Dime","1","90","2.50","g","5.54","5.54","",""
"1940","Quarter","1","90","6.25","g","13.85","13.85","",""
"1941","Mercury Dime","5","90","2.50","g","5.54","27.71","",""
"1941","Quarter","1","90","6.25","g","13.85","13.85","",""
"1942","Mercury Dime","14","90","2.50","g","5.54","77.59","",""
"1942","Quarter","2","90","6.25","g","13.85","27.71","",""
"1943","Mercury Dime","10","90","2.50","g","5.54","55.42","",""
"1944","Mercury Dime","8","90","2.50","g","5.54","44.34","",""
"1945","Mercury Dime","5","90","2.50","g","5.54","27.71","",""
"1946","Roosevelt Dime","4","90","2.50","g","5.54","22.17","",""
"1947","Roosevelt Dime","2","90","2.50","g","5.54","11.08","",""
"1948","Roosevelt Dime","2","90","2.50","g","5.54","11.08","",""
"1948","Quarter","1","90","6.25","g","13.85","13.85","",""
"1951","Roosevelt Dime","1","90","2.50","g","5.54","5.54","",""
"1952","Roosevelt Dime","1","90","2.50","g","5.54","5.54","",""
"1952","Half Dollar","1","90","12.50","g","27.71","27.71","",""
"1953","Quarter","1","90","6.25","g","13.85","13.85","",""
"1954","Roosevelt Dime","2","90","2.50","g","5.54","11.08","",""
"1956","Roosevelt Dime","1","90","2.50","g","5.54","5.54","",""
"1957","Roosevelt Dime","1","90","2.50","g","5.54","5.54","",""
"1958","Quarter","1","90","6.25","g","13.85","13.85","",""
"1959","Roosevelt Dime","1","90","2.50","g","5.54","5.54","",""
"1959","Quarter","1","90","6.25","g","13.85","13.85","",""
"1961","Roosevelt Dime","5","90","2.50","g","5.54","27.71","",""
"1962","Roosevelt Dime","3","90","2.50","g","5.54","16.63","",""
"1963","Roosevelt Dime","4","90","2.50","g","5.54","22.17","",""
"1963","Quarter","2","90","6.25","g","13.85","27.71","",""
"1964","Roosevelt Dime","13","90","2.50","g","5.54","72.04","",""
"1964","Quarter","2","90","6.25","g","13.85","27.71","",""
"1964","Half Dollar","2","90","12.50","g","27.71","55.42","",""
"1966","Half Dollar","1","40","11.50","g","11.33","11.33","",""
"1967","Half Dollar","2","40","11.50","g","11.33","22.66","",""
"","Pure Silver Bullion","13.00","100","13.00","oz","76.61","995.93","Tracked separately",""
